,brand,name,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating
73,EMPORIO ARMANI,Stronger With You,175.85,100,EDT,Men,Floral,"Amberwood, Cedar, Chestnut, Vanilla","Melon, Pineapple, Sage",4.5
74,TED LAPIDUS,Rumba Passion Ted Lapidus,95,100,EDT,Women,Floral,"Patchouli, Vanilla And Honey",Jasmine And Rose,5
75,HUGO BOSS,Dark Blue,129,75,EDT,Men,Citrus,"Benzoin, Olibanum, Patchouli and Suede","Pelargonium, Cypress and Sage",4.5
76,VERSACE,Dylan Blue,217.85,100,EDT,Men,Fresh,"Incense, Musk, Tonka Bean, Saffron","Ambroxan, Patchouli, Black Pepper, Violet Leaf, Papyrus",4.6
77,BOUCHERON,Quatre,169.75,100,EDP,Women,Floral,"Caramel, Cashmere, Vanilla, White Musk","Apple, Jasmine, Fishing, Rose",4.9
78,DORALL COLLECTION,Molto Carina,8.55,100,EDT,Women,Woody,"Musk, Lactone, Woody Amber","Tropical Fruits, Peach, Jasmin, Water",4
79,armani,Stronger With You Intensely,336,100,EDP,Men,Sweet Aromatic,Ambery Woods,Vanilla,4.8
80,PACO RABANNE,1 Million,173,100,EDT,Men,Woody,"Indian Patchouli, amber, woody notes and leather","Rose absolute, musk and cinnamon bark",3.8
81,VALENTINO,Valentina,241,80,EDP,Women,Floral,"Virginia Cedar,Vanilla,Amber","Strawberry,Tuberose,African Orange Flower,Jasmine",5
82,Ard Al Zaafaran,Oud 24 Hours,47,100,EDP,Unisex,Fresh,"Amber, Incense, Sandalwood, Patchouli And Agarwood (oud)","Spicy Notes, Fruity Notes, Jasmine, Gardenia And Ylang-ylang",4
83,DKNY,Be Delicious,148.35,100,EDP,Women,Floral,White Amber and Woods,"Apple, Tuberose, White Muguet, Rose and Violet",4.8
84,Estee Lauder,Modern Muse,239.7,100,EDP,Women,Floral,"Patchouli, Amber, Musk, Vanilla, Woodsy Note","Tuberose, Lily, Flower Petals, Honeysuckles, Jasmine Sambac, Chinee Jasmine",4.5
85,CAROLINA HERRERA,Good Girl,213.15,80,EDP,Women,Arabian,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",4.8
86,BURBERRY,Mr.Burberry,199.9,100,EDP,Men,Woody,"Sandalwood, Vetiver , Guaiac Wood","Birch Leaf, Nutmeg Oil , Cedar",4.6
87,Guerlain,Ideal,223,100,EDP,Men,Fruity,"Leather, Sandalwood, Tonka Beans","Bulgarian Rose, Cherry, Incense, Vanilla",4.8
88,GIORGIO ARMANI,Acqua Di Gio,464.9,200,EDT,Men,Citrus,"Amber, Oak moss, Musk and Cedar","Violet, Coriander, Small Coconut, Peach, Rose, Sea Notes, Freesia And Flower Of Love",3.7
89,ELIE SAAB,Girl of Now Shine,192,90,EDP,Women,Arabian,"Iris, Jasmine, Sweet Vanilla And Patchouli",Roasted Almonds And Ylang-ylang,5
90,NARCISO RODRIGUEZ,Narciso Rodriguez,215.75,50,EDP,Women,Spicy,"Patchouli, Sandalwood","Amber, Musk",4.3
91,Ajmal,Raindrops,47.95,50,EDP,Women,Fruity,Floral Ambery Woody,Animalistic Floral,4.7
92,Roberto Cavalli,Uomo,126,100,EDT,Men,Floral,Cedar,"Honey, Lavender",5
93,MONTBLANC,Emblem Absolu,116,100,EDT,Men,Spicy,"Patchouli, Vetiver and Moss","Pink Pepper, Lavender, Fruits and Honey",4.7
94,LACOSTE,Eau de Lacoste L. 12.12 Noir,85,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin And Patchouli","Basil, Verbena And Lavender",4.8
95,Calvin Klein,CKIN2U,82.9,100,EDT,Men,Citrus,"Vetiver, Cedar and White Musk",Cacao Pod,5
96,Roberto Cavalli,Florence,166.8,75,EDP,Women,Floral,"Patchouli, Musk, Amber","Orange Blossom, Grapefruit Blossom, Hibiscus Seed",4.6
97,TOMMY HILFIGER,Tommy Hilfiger,124.9,100,EDT,Men,Spicy,"Amber, Cactus And Cotton Flower","Cranberry, Rose And Granny Smith Apple",4.1
98,LE CHAMEAU,Atelier Intense,71.25,80,EDT,Men,Arabian,"Vetyver, Amber, Musk, Oakmoss","Spicy, Sandalwood, Ceadarwood, Tonka",5
99,LE CHAMEAU,Genesis Oud Malaki,73,100,EDT,Unisex,Arabian,Musk and Vetiver,"Agarwood, Apple, Patchouli and Amber",2
100,AVON,Tomorrow,70,50,EDP,Women,Floral,"Powdery, Floral, Woody, Balsamic, Rose",Musk,4.5
101,PACO RABANNE,Invictus,210,100,EDT,Men,Citrus,Guaiac Wood and Patchouli Heart,Ambregris Accord and Grapefruit Zests,4.8
102,Salvatore Ferragamo,Signorina Eleganza,153.3,100,EDP,Women,Fruity,Patchouli And White Leather,Almond Powder And Golden Osmanthus Petals,5
103,Carrera,Pour Homme,43.5,100,EDT,Men,Woody,"Cedar, Tonka Bean, Musk, Leather, Sandalwood And Oakmoss","Anise, Ginger, Cloves And Jasmine",5
104,DORALL COLLECTION,Nashwa,14.2,100,EDT,Women,Woody,"Amber, patchouli, vanilla, musk, sandalwood","Magnolia, gardenia, lily of the valley, freesia, jasmine",5
105,Calvin Klein,Euphoria,94.55,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood And Suede","Black Basil, Sage And Cedar",4.7
106,HUGO BOSS,XX,158.65,100,EDT,Women,Fruity,"Amber, Musk, Sandalwood","Jasmine, Rice, Rose",4.5
107,Sedr Al-Khaleej Perfumes,Moon Light,34.3,100,EDP,Women,Citrus,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",5
108,Dunhill,Desire,84.95,100,EDT,Men,Fresh,"Vanilla, Musk And Labdanum","Rose, Teakwood And Patchouli",4.2
109,Dior,Sauvage,240.85,100,EDT,Men,Fresh,"Cedar, labdanum, ambroxan","Geranium, lavender, sichuan, pepper, elemi, pink pepper, vetiver, patchouli",3.8
110,TRUSSARDI,My Land,164,100,EDT,Men,Woody,"Leather, Vetiver and Tonka Bean","Lavender, Violet and Calone",4.5
111,Dupont,Passenger,95,100,EDT,Men,Woody,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper and Lavender",4.5
112,ANGEL SCHLESSER,Essential,103.95,100,EDP,Women,Oriental,"Sandal Wood, Musk And Vetiver","Peony, Violet, Freesia And Bulgarian Rose",4.6
113,Calvin Klein,Euphoria,91.95,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood, Suede","Black Basil, Sage, Cedar",5
114,PACO RABANNE,Pour Homme,136.05,100,EDT,Men,Woody,"Honey, Amber, Musk, Oakmoss","Tonka Bean, Lavender, Geranium",4.5
115,MONTBLANC,Starwalker,125.55,75,EDT,Men,Woody,"Ginger, Fir Resin, Nutmeg, Amber","Sandalwood, White Musk, Cedar",5
116,DORALL COLLECTION,Classic Black,8.8,100,EDT,Men,Fresh,"Chocolate,cashmere Wood, Patchouli, Tonka Bean","Basil, Verbena , Lavender",4
117,S.T.Dupont,Essence Pure,84.6,100,EDT,Women,Citrus,"Amber, Patchouli, Vanilla And Cedar",Jasmine And Rose,4.4
118,S.T.Dupont,Passenger Spray,124.7,100,EDP,Women,Fruity,Sandalwood and Musk,"Redolent with Cyclamen, Gardenia, Rose and Iris",5
119,DAVIDOFF,Zino,81.55,125,EDT,Men,Woody,"Tonka, Sandal, Amber, Cedar, Patchouli and Vanilla","Muguet, Rose, Jasmine and Geranium",3.4
120,Ajmal,Evoke,150.05,75,EDP,Women,Floral,"Patchouli, Vanilla And Moss","Jasmine, Rose And Orris",5
121,Guerlain,Idylle,259.7,100,EDP,Women,Floral,"Musk, Patchouli","Jasmine, Lilac, Lily, Lily Of The Valley, Peony",5
122,CHOPARD,Wish,96,75,EDP,Women,Oriental,"Patchouli, Caramel, Amber, Sandalwood, Vanilla","Honey, Milk, Lily Of The Valley, Orchid, Violet, Jasmine, Heliotrope, Osmanthus, and Magnolia",4.8
123,PACO RABANNE,Olymp?a,150,80,EDP,Women,Floral,"Sandalwood, Cashmere and Ambergris",Vanilla,4.5
124,CHOPARD,Happy Spirit,152.15,75,EDP,Women,Floral,"Amber, Cashmere Wood, Musk","Honeysuckle, Osmanthus",4.4
125,CARTIER,Pasha de Cartier,185.25,100,EDT,Men,Aromatic,"Oakmoss, Sandalwood, Patchouli, Labdanum","Coriander, Brazilian Rosewood",4.3
126,PACO RABANNE,Olympea,134,80,EDP,Women,Floral,"Cashmere, Sandalwood, Ambergris",Salted Vanilla,4
127,jennifer lopez,Live,104,100,EDP,Women,Fruity,"Tonka Bean, Sensual, Rich, Creamy Buttery Lactonic Caramel","Uity Red Currant Blossoms, Violet",5
128,Yves Saint Laurent,Black Opium Nuit Blanche,266.9,90,EDP,Women,Spicy,"Vanilla Absolute, Sandalwood, White Musk","Orange Blossom Absolute, Black Opium Coffee",4.5
129,LACOSTE,Eau de Lacoste L. 12.12 Noir,85,100,EDT,Men,Spicy,"Dark Chocolate, Cashmeran, Coumarin And Patchouli","Basil, Verbena And Lavender",4.8
130,Calvin Klein,Euphoria Intense,99,100,EDT,Men,Spicy,"Cashmere Woods, Madagascar Vanilla, Burnt Amber and Australian Sandalwood","Black Basil, Sage, Cedar, Vetiver",4.2
131,PACO RABANNE,Paco Rabanne,133.7,100,EDT,Men,Woody,"Tobacco, Oakmoss And Musk","Lavender, Thyme And Tarragon",4.4
132,Ajmal,Sacrifice,75.9,50,EDP,Women,Floral,"Woody, Oriental and Musky","Floral, Musky",4.5
133,BVLGARI,Petits Et Mamans,197.75,100,EDT,Women,Floral,Iris and Vanilla,White Peach,4.8
134,Ferrari,Scuderia Black,98.5,125,EDT,Men,Fruity,"Cedar, Amber, Musk and Vanilla","Cardamom, Cinnamon, Rose and Jasmine",4
135,TRUSSARDI,My Name,228,50,EDP,Women,Floral,"Dry Amber, Vanilla",Lilac And Musk,4.6
136,VERSACE,Crystal Noir,183.45,50,EDT,Women,Arabian,"Sandalwood, Musk and Amber","Orange Blossom, Peony, Gardenia and Coconut",3.9
137,Calvin Klein,Intense Euphoria,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4
138,PACO RABANNE,One Million Lucky,257.15,100,EDT,Men,Woody,"White cedar, patchouli, amber wood, vanilla","Hazelnut, Cedar and Jasmine",4.7
139,HERMES,Terre D' Hermes,173,100,EDT,Men,Citrus,"woody notes, patchouli and cedar",geranium,3.9
140,Alrehab,Anfas Aloud,85.5,60,EDP,Unisex,Arabian,oud,bergamot,5
141,EMPORIO ARMANI,Because It's You,154.7,100,EDP,Women,Floral,"Musk, Vanilla and Amberwood",Rose,4.9
142,Genie,London Burberry,14.95,25,EDP,Women,Floral,Wood And Musk,"Jasmine, Tiare Flower And Soft Peony",4.7
143,Roberto Cavalli,Women,103,75,EDP,Women,Arabian,"Benzoin,Tonka Beans,Vanilla",Orange Tree Blossom,5
144,LALIQUE,Lalique,249,100,EDP,Women,Woody,"White Musk,Sandalwood,Vanilla","Blackberry,Cassis,Pear",4.4
145,Franck Olivier,Oud Touch,93,100,EDP,Men,Woody,"Amber, Musk And Vanilla","Violet, Patchouli, Rose, Jasmine And Olibanum",5
146,TOMMY HILFIGER,Tommy,130,100,EDT,Men,Spicy,"Amber, Cactus, Cotton Plant Blossom","Apple, Cranberries, Rose",5
147,Elizabeth Arden,5th Avenue,93,75,EDP,Women,Floral,"Amber, Tibetan Musk, Sandalwood, Iris and Vanilla","Bulgarian Pink Violet, Ylang-ylang, Jasmine, Indian Tuberose, Peach, Carnation and Nutmeg",4
148,ELIE SAAB,Girl Of Now,250,90,EDP,Women,Floral,"Patchouli,Cashmeran,Tonka bean, Almod milk","Orange Blossom,Magnoli,Almond",4.5
149,PACO RABANNE,One Million,287.95,200,EDT,Men,Woody,Blonde Leather Patchouli White Woods Amber,Rose Absolute And Cinnamon Spices,5
150,Calvin Klein,Euphoria,94.55,100,EDT,Men,Woody,"Amber, Patchouli, Brazilian Redwood And Suede","Black Basil, Sage And Cedar",4.7
151,cacharel,Noa,154.75,100,EDT,Women,Fresh,"Woodsy transparent with coffee, incense touches","White flowers, ylang-ylang, rose",4.5
152,GUESS,Seductive Homme,91.75,100,EDT,Men,Spicy,"Musk, Sandalwood, Patchouli, Amber","Vetiver, Violet Leaf, Orchid",4.5
153,Al Fakhr,Ameer Al Oud Khususi,12,100,EDP,Unisex,"Woody, Sweet","Sandalwood, Cedarwood","Black Pepper, Cardamom",4.1
154,Alrehab,Anfas Aloud,85.5,60,EDP,Unisex,Arabian,oud,bergamot,5
155,Givenchy,Pour Homme,117,100,EDT,Men,Spicy,"Labdanum, Ceder","Vetiver, Lavender",4.4
156,Rasasi,Blue,36.95,100,EDT,Men,Spicy,"Amber, Woody","Geranium, Rose, Coriander, Pepper, Jasmine",5
157,GIORGIO ARMANI,Eau Pour Homme Reno 2013,186,50,EDT,Men,Citrus,"Patchouli, Oakmoss and Sandalwood","Cloves, Lily and Nutmeg",4.7
158,LACOSTE,Touch Of Pink,95,50,EDT,Women,Floral,"Woodsy-Musk Base, Vanilla","Jasmine, Unexpected Carrot, And Spicy Coriander",4.6
159,GUESS,Gold,119,75,EDP,Women,Floral,"Sandalwood, Patchouli, Amber, Vetiver And Sensual Musk","Jasmine, Lotus And Intoxicating Seductress Rose",4.9
160,BVLGARI,Goldea The Roman Night,229.25,75,EDP,Women,Floral,"Patchouli,Black Musk,Vetiver,Moss","Black Peony,Night-Blooming Jasmine,Rose,Tuberose",4.7
161,LACOSTE,Lacoste,115,100,EDT,Men,Citrus,"Cedar, Woody Notes, Amber, Vanilla And Musk","Black Pepper, Ginger, Jasmine And Almond",4.6
162,Guerlain,Samsara,221.45,100,EDP,Women,Arabian,"Sandal Wood, Vanilla, Tonka Bean, Amber and Musk","Jasmine, Cold Woodsy Iris, Luscious Narcissus, Violet and Rose",4.7
163,HUGO BOSS,The Scent,155,100,EDP,Women,Fruity,Cacao,Osmanthus,4.5
164,JAGUAR,Classic Gold,79.95,100,EDT,Men,Woody,"Patchouli,Vanilla,Musk","Orange Blossom,Teak Wood",4.7
165,Franck Olivier,Frank Olivier,87,75,EDP,Women,Musk,"Musk, Sandalwood, Vanilla","Jasmine, Ylang-Ylang, Heliotrope, Rose",4.7
166,CHOPARD,Happy Spirit Forever,98.1,75,EDP,Women,Oriental,Patchouli And Amber,"Rosemary, Jasmine And Orange Blossom",4.9
167,PACO RABANNE,Million,166.5,50,EDP,Women,Fresh,Honey and Patchouli,Orange Flower Absolute and Jasmine Absolute,5
168,Pino Silvestre,Pino Silvester Original,72.5,125,EDT,Men,Woody,"Amber, Cedar, Musk, Tonka Beans and Moss","Spicy Notes Of Carnation, Nutmeg, Geranium, Thyme and Fir Tree",5
169,MONTALE,Roses Musk,237.9,100,EDP,Women,Floral,Musk,Jasmine,5
170,Kenneth Cole,Black,177.9,100,EDT,Men,Floral,"Amber, Musk, Violet Leaf And Suede","Nutmeg, Incense, Cedar, Lotus And Exotic Woods",4.5
171,Calvin Klein,Intense Euphoria,109.95,100,EDT,Men,Spicy,"Labdanum, Amber, Patchouli, Agarwood, Myrrh","Black Basil, Sage, Cedar, Vetiver",4.4
172,MONTBLANC,Legend,214.55,200,EDT,Men,Spicy,Sandalwood and Tonka Bean,"Coumarin, Oak moss, Geranium, Rose, Red Apple and Dried Fruits",4.5
